ats_id,native_index,source,permeability [m^2],porosity [-],van Genuchten alpha [Pa^-1],van Genuchten n [-],residual saturation [-],thickness [m]
100,"(715639, 715796, 726604, 726608)",GLHYMPS,6.309573444801943e-16,0.19,2.5117434929522858e-05,2.0,0.01,
101,"(715779, 726642, 726664)",GLHYMPS,3.162277660168379e-13,0.09,0.0007750899152771804,2.0,0.01,
102,"(715766, 726639, 726667)",GLHYMPS,1e-13,0.22,0.0002938601837970351,2.0,0.01,
103,"(730801,)",GLHYMPS,3.019951720402019e-11,0.01,0.00757446714796347,2.0,0.01,
1000,498185,NRCS,2.2797586292546784e-13,0.26556338028169013,9.209439267219706e-05,1.3199163021179214,0.2402694998853142,1.52
1001,498205,NRCS,2.7340803917638113e-12,0.15973684210526318,0.0001392419520825728,1.4575586155822173,0.18159777796147997,1.52
1002,498206,NRCS,2.7340803917638113e-12,0.15973684210526318,0.0001392419520825728,1.4575586155822173,0.18159777796147997,1.52
1003,498208,NRCS,1.184189303385959e-12,0.18598639455782312,7.057922807760504e-05,1.4209380604413435,0.20831550925336692,1.52
1004,498231,NRCS,7.331978922150958e-13,0.4032183908045977,5.9035461676969996e-05,1.4167836230442028,0.21328538673446965,1.07
1005,509477,NRCS,3.0390952015214637e-12,0.428778677462888,0.0001026543688119325,1.3831799624365895,0.17513328104887463,1.52
1006,509479,NRCS,3.1724153179438574e-12,0.37836462516120034,7.944646672657226e-05,1.3745400709853905,0.23088513044942505,1.25
1007,509481,NRCS,3.1724153179438574e-12,0.37836462516120034,7.944646672657226e-05,1.3745400709853905,0.23088513044942505,1.25
1008,509482,NRCS,4.654687367241032e-12,0.36988572438039946,9.203724925853619e-05,1.397759987077365,0.20787742436879267,1.205
1009,509513,NRCS,9.122162142274368e-13,0.23742260061919507,7.174473464944184e-05,1.3957462188548109,0.2195973862270013,1.52
1010,509514,NRCS,2.3755228508729357e-13,0.2716301169590643,7.899588884215695e-05,1.3404291036105784,0.24180143335989296,1.52
1011,509529,NRCS,5.850942027078012e-12,0.35616317968233824,0.00015698480102474825,1.4060906961928614,0.19681129313715473,1.52
1012,509532,NRCS,1.5266822192331274e-12,0.18223780959752323,8.713376410632949e-05,1.4225780911772932,0.19978346757735424,1.52
1013,509548,NRCS,2.0065358522194032e-12,0.19334978070175438,0.00010383500882900289,1.4336851811342521,0.1893135516117699,1.52
1014,509559,NRCS,7.504374491667425e-13,0.15125,7.803280706554558e-05,1.410009901218671,0.21087044873359104,0.618125
1015,509561,NRCS,1.5907769355691275e-13,0.21862464193744396,8.071673371885555e-05,1.3328173486808372,0.2466647985219984,1.3964705882352941
1016,509733,NRCS,4.744970912559151e-12,0.4497523762650343,0.00022052750437760995,1.7620720161029444,0.15736573141848026,0.86
1017,509794,NRCS,1.3027995307926816e-12,0.41524481302637256,0.00014037160612403624,1.3674082639380234,0.22096220194263017,1.52
999,,n/a,1e-16,0.15,1.125398823430165e-05,3.0,0.01,
